Algoritmo Genético
Arquivo: wt100.txt
Melhor valor encontrado: 

6155
Tempo máximo em minutos: 1

Algoritmo iniciou em: 

09:18:01
Melhor solução em: 

09:18:07
Número de cromossosmos: 980
Número de cromossosmos iniciais: 250
Tamanho da elite: 250
Melhor solução encontrada: 

Jobs: 100
t: 91 | c: 91 | d: 3790 | w: 10 | l: 0
t: 74 | c: 165 | d: 3735 | w: 3 | l: 0
t: 5 | c: 170 | d: 4261 | w: 8 | l: 0
t: 79 | c: 249 | d: 4671 | w: 4 | l: 0
t: 55 | c: 304 | d: 4281 | w: 4 | l: 0
t: 13 | c: 317 | d: 3717 | w: 5 | l: 0
t: 92 | c: 409 | d: 3815 | w: 8 | l: 0
t: 91 | c: 500 | d: 3713 | w: 9 | l: 0
t: 35 | c: 535 | d: 4740 | w: 5 | l: 0
t: 41 | c: 576 | d: 4243 | w: 5 | l: 0
t: 46 | c: 622 | d: 4202 | w: 9 | l: 0
t: 49 | c: 671 | d: 4360 | w: 9 | l: 0
t: 95 | c: 766 | d: 3724 | w: 6 | l: 0
t: 52 | c: 818 | d: 4412 | w: 1 | l: 0
t: 22 | c: 840 | d: 4062 | w: 10 | l: 0
t: 14 | c: 854 | d: 3797 | w: 5 | l: 0
t: 88 | c: 942 | d: 4591 | w: 4 | l: 0
t: 69 | c: 1011 | d: 4207 | w: 8 | l: 0
t: 27 | c: 1038 | d: 4612 | w: 5 | l: 0
t: 65 | c: 1103 | d: 3888 | w: 1 | l: 0
t: 13 | c: 1116 | d: 4567 | w: 10 | l: 0
t: 8 | c: 1124 | d: 4727 | w: 3 | l: 0
t: 74 | c: 1198 | d: 3743 | w: 4 | l: 0
t: 1 | c: 1199 | d: 3907 | w: 10 | l: 0
t: 58 | c: 1257 | d: 4122 | w: 6 | l: 0
t: 51 | c: 1308 | d: 4707 | w: 3 | l: 0
t: 89 | c: 1397 | d: 4546 | w: 6 | l: 0
t: 20 | c: 1417 | d: 4293 | w: 8 | l: 0
t: 22 | c: 1439 | d: 4187 | w: 10 | l: 0
t: 19 | c: 1458 | d: 3767 | w: 5 | l: 0
t: 100 | c: 1558 | d: 4025 | w: 6 | l: 0
t: 97 | c: 1655 | d: 4022 | w: 5 | l: 0
t: 46 | c: 1701 | d: 4547 | w: 9 | l: 0
t: 53 | c: 1754 | d: 4609 | w: 6 | l: 0
t: 68 | c: 1822 | d: 3819 | w: 9 | l: 0
t: 99 | c: 1921 | d: 4227 | w: 10 | l: 0
t: 73 | c: 1994 | d: 4068 | w: 7 | l: 0
t: 16 | c: 2010 | d: 3803 | w: 10 | l: 0
t: 17 | c: 2027 | d: 4378 | w: 2 | l: 0
t: 24 | c: 2051 | d: 4558 | w: 5 | l: 0
t: 60 | c: 2111 | d: 3811 | w: 4 | l: 0
t: 49 | c: 2160 | d: 4318 | w: 8 | l: 0
t: 21 | c: 2181 | d: 3738 | w: 6 | l: 0
t: 14 | c: 2195 | d: 3727 | w: 3 | l: 0
t: 39 | c: 2234 | d: 3782 | w: 8 | l: 0
t: 14 | c: 2248 | d: 3875 | w: 8 | l: 0
t: 28 | c: 2276 | d: 4142 | w: 2 | l: 0
t: 20 | c: 2296 | d: 4393 | w: 9 | l: 0
t: 25 | c: 2321 | d: 4562 | w: 4 | l: 0
t: 5 | c: 2326 | d: 4520 | w: 5 | l: 0
t: 37 | c: 2363 | d: 3974 | w: 7 | l: 0
t: 14 | c: 2377 | d: 4248 | w: 8 | l: 0
t: 15 | c: 2392 | d: 3814 | w: 9 | l: 0
t: 18 | c: 2410 | d: 3858 | w: 1 | l: 0
t: 97 | c: 2507 | d: 4126 | w: 5 | l: 0
t: 65 | c: 2572 | d: 4188 | w: 9 | l: 0
t: 82 | c: 2654 | d: 4240 | w: 8 | l: 0
t: 50 | c: 2704 | d: 4204 | w: 5 | l: 0
t: 94 | c: 2798 | d: 3752 | w: 10 | l: 0
t: 81 | c: 2879 | d: 4384 | w: 6 | l: 0
t: 10 | c: 2889 | d: 4508 | w: 3 | l: 0
t: 89 | c: 2978 | d: 4471 | w: 6 | l: 0
t: 94 | c: 3072 | d: 3726 | w: 7 | l: 0
t: 61 | c: 3133 | d: 4113 | w: 6 | l: 0
t: 72 | c: 3205 | d: 3713 | w: 4 | l: 0
t: 67 | c: 3272 | d: 3864 | w: 1 | l: 0
t: 54 | c: 3326 | d: 3729 | w: 6 | l: 0
t: 65 | c: 3391 | d: 4366 | w: 7 | l: 0
t: 18 | c: 3409 | d: 4015 | w: 9 | l: 0
t: 31 | c: 3440 | d: 3857 | w: 10 | l: 0
t: 87 | c: 3527 | d: 4361 | w: 2 | l: 0
