Algoritmo Genético
Arquivo: wt100-2.txt
Melhor valor encontrado: 

0
Tempo máximo em minutos: 1

Algoritmo iniciou em: 

23:48:36
Melhor solução em: 

null
Número de cromossosmos: 25
Número de cromossosmos iniciais: 25
Tamanho da elite: 25
Melhor solução encontrada: 

Jobs: 100
t: 20 | c: 20 | d: 3868 | w: 2 | l: 0
t: 12 | c: 32 | d: 3904 | w: 5 | l: 0
t: 20 | c: 52 | d: 3668 | w: 54 | l: 0
t: 72 | c: 124 | d: 4414 | w: 5 | l: 0
t: 65 | c: 189 | d: 4378 | w: 95 | l: 0
t: 50 | c: 239 | d: 4568 | w: 4 | l: 0
t: 23 | c: 262 | d: 4614 | w: 6 | l: 0
t: 46 | c: 308 | d: 3768 | w: 3 | l: 0
t: 23 | c: 331 | d: 4324 | w: 9 | l: 0
t: 8 | c: 339 | d: 4586 | w: 1 | l: 0
t: 22 | c: 361 | d: 3815 | w: 5 | l: 0
t: 62 | c: 423 | d: 4368 | w: 74 | l: 0
t: 66 | c: 489 | d: 4112 | w: 4 | l: 0
t: 40 | c: 529 | d: 4426 | w: 4 | l: 0
t: 7 | c: 536 | d: 4516 | w: 2 | l: 0
t: 8 | c: 544 | d: 4119 | w: 8 | l: 0
t: 9 | c: 553 | d: 3780 | w: 2 | l: 0
t: 35 | c: 588 | d: 3724 | w: 95 | l: 0
t: 86 | c: 674 | d: 4002 | w: 6 | l: 0
t: 16 | c: 690 | d: 3835 | w: 5 | l: 0
t: 24 | c: 714 | d: 3792 | w: 9 | l: 0
t: 35 | c: 749 | d: 3649 | w: 88 | l: 0
t: 85 | c: 834 | d: 4444 | w: 9 | l: 0
t: 5 | c: 839 | d: 4053 | w: 1 | l: 0
t: 34 | c: 873 | d: 3979 | w: 3 | l: 0
t: 27 | c: 900 | d: 3987 | w: 48 | l: 0
t: 8 | c: 908 | d: 4428 | w: 10 | l: 0
t: 99 | c: 1007 | d: 4512 | w: 7 | l: 0
t: 8 | c: 1015 | d: 4563 | w: 4 | l: 0
t: 7 | c: 1022 | d: 3790 | w: 3 | l: 0
t: 85 | c: 1107 | d: 3791 | w: 10 | l: 0
t: 13 | c: 1120 | d: 4309 | w: 1 | l: 0
t: 53 | c: 1173 | d: 4134 | w: 64 | l: 0
t: 55 | c: 1228 | d: 4303 | w: 5 | l: 0
t: 6 | c: 1234 | d: 4272 | w: 3 | l: 0
t: 43 | c: 1277 | d: 4293 | w: 46 | l: 0
t: 84 | c: 1361 | d: 4646 | w: 10 | l: 0
t: 65 | c: 1426 | d: 4642 | w: 6 | l: 0
t: 41 | c: 1467 | d: 4560 | w: 59 | l: 0
t: 47 | c: 1514 | d: 4079 | w: 76 | l: 0
t: 10 | c: 1524 | d: 4349 | w: 5 | l: 0
t: 72 | c: 1596 | d: 4394 | w: 8 | l: 0
t: 49 | c: 1645 | d: 3675 | w: 5 | l: 0
t: 5 | c: 1650 | d: 3960 | w: 2 | l: 0
t: 16 | c: 1666 | d: 4099 | w: 5 | l: 0
t: 67 | c: 1733 | d: 3819 | w: 8 | l: 0
t: 2 | c: 1735 | d: 4109 | w: 5 | l: 0
t: 9 | c: 1744 | d: 4087 | w: 3 | l: 0
t: 22 | c: 1766 | d: 3946 | w: 2 | l: 0
t: 41 | c: 1807 | d: 3726 | w: 96 | l: 0
t: 36 | c: 1843 | d: 3749 | w: 42 | l: 0
t: 95 | c: 1938 | d: 4519 | w: 6 | l: 0
t: 54 | c: 1992 | d: 4472 | w: 75 | l: 0
t: 6 | c: 1998 | d: 4611 | w: 1 | l: 0
t: 9 | c: 2007 | d: 3824 | w: 3 | l: 0
t: 64 | c: 2071 | d: 4131 | w: 5 | l: 0
t: 7 | c: 2078 | d: 3656 | w: 10 | l: 0
t: 100 | c: 2178 | d: 3787 | w: 8 | l: 0
t: 19 | c: 2197 | d: 4552 | w: 9 | l: 0
t: 37 | c: 2234 | d: 4146 | w: 98 | l: 0
t: 11 | c: 2245 | d: 4661 | w: 10 | l: 0
t: 99 | c: 2344 | d: 3739 | w: 6 | l: 0
t: 5 | c: 2349 | d: 4318 | w: 2 | l: 0
t: 90 | c: 2439 | d: 3863 | w: 8 | l: 0
t: 19 | c: 2458 | d: 3736 | w: 9 | l: 0
t: 78 | c: 2536 | d: 4064 | w: 7 | l: 0
t: 7 | c: 2543 | d: 4521 | w: 2 | l: 0
t: 13 | c: 2556 | d: 3966 | w: 9 | l: 0
t: 90 | c: 2646 | d: 3757 | w: 5 | l: 0
t: 94 | c: 2740 | d: 4630 | w: 7 | l: 0
t: 56 | c: 2796 | d: 4423 | w: 6 | l: 0
t: 8 | c: 2804 | d: 4423 | w: 2 | l: 0
t: 32 | c: 2836 | d: 4352 | w: 4 | l: 0
t: 27 | c: 2863 | d: 4145 | w: 5 | l: 0
t: 55 | c: 2918 | d: 3709 | w: 28 | l: 0
t: 10 | c: 2928 | d: 4230 | w: 2 | l: 0
t: 3 | c: 2931 | d: 3678 | w: 10 | l: 0
t: 91 | c: 3022 | d: 4065 | w: 8 | l: 0
t: 43 | c: 3065 | d: 3657 | w: 61 | l: 0
t: 5 | c: 3070 | d: 4198 | w: 2 | l: 0
t: 6 | c: 3076 | d: 4299 | w: 8 | l: 0
t: 37 | c: 3113 | d: 4321 | w: 4 | l: 0
t: 22 | c: 3135 | d: 3679 | w: 9 | l: 0
t: 9 | c: 3144 | d: 3922 | w: 3 | l: 0
t: 79 | c: 3223 | d: 4055 | w: 5 | l: 0
t: 33 | c: 3256 | d: 4570 | w: 2 | l: 0
t: 6 | c: 3262 | d: 3845 | w: 2 | l: 0
t: 70 | c: 3332 | d: 4243 | w: 54 | l: 0
t: 9 | c: 3341 | d: 3723 | w: 5 | l: 0
t: 69 | c: 3410 | d: 4098 | w: 7 | l: 0
t: 94 | c: 3504 | d: 4197 | w: 9 | l: 0
t: 16 | c: 3520 | d: 4501 | w: 1 | l: 0
t: 81 | c: 3601 | d: 4564 | w: 7 | l: 0
t: 34 | c: 3635 | d: 3778 | w: 73 | l: 0
t: 90 | c: 3725 | d: 4330 | w: 7 | l: 0
t: 5 | c: 3730 | d: 3765 | w: 2 | l: 0
t: 66 | c: 3796 | d: 4079 | w: 7 | l: 0
t: 85 | c: 3881 | d: 4273 | w: 6 | l: 0
t: 22 | c: 3903 | d: 4081 | w: 83 | l: 0
t: 57 | c: 3960 | d: 4489 | w: 66 | l: 0
Valor: 0
