Algoritmo Genético
Arquivo: wt100.txt
Melhor valor encontrado: 

6076
Tempo máximo em minutos: 1

Algoritmo iniciou em: 

21:55:29
Melhor solução em: 

21:55:32
Número de cromossosmos: 128
Número de cromossosmos iniciais: 25
Tamanho da elite: 25
Melhor solução encontrada: 

Jobs: 100
t: 94 | c: 94 | d: 3726 | w: 7 | l: 0
t: 65 | c: 159 | d: 4188 | w: 9 | l: 0
t: 53 | c: 212 | d: 4537 | w: 4 | l: 0
t: 25 | c: 237 | d: 4562 | w: 4 | l: 0
t: 15 | c: 252 | d: 3814 | w: 9 | l: 0
t: 5 | c: 257 | d: 4261 | w: 8 | l: 0
t: 5 | c: 262 | d: 4520 | w: 5 | l: 0
t: 61 | c: 323 | d: 4113 | w: 6 | l: 0
t: 22 | c: 345 | d: 4324 | w: 3 | l: 0
t: 20 | c: 365 | d: 4393 | w: 9 | l: 0
t: 68 | c: 433 | d: 3819 | w: 9 | l: 0
t: 69 | c: 502 | d: 4207 | w: 8 | l: 0
t: 72 | c: 574 | d: 3713 | w: 4 | l: 0
t: 53 | c: 627 | d: 4609 | w: 6 | l: 0
t: 58 | c: 685 | d: 4122 | w: 6 | l: 0
t: 49 | c: 734 | d: 4318 | w: 8 | l: 0
t: 33 | c: 767 | d: 4281 | w: 5 | l: 0
t: 14 | c: 781 | d: 3875 | w: 8 | l: 0
t: 31 | c: 812 | d: 4095 | w: 3 | l: 0
t: 20 | c: 832 | d: 4293 | w: 8 | l: 0
t: 81 | c: 913 | d: 4384 | w: 6 | l: 0
t: 82 | c: 995 | d: 4240 | w: 8 | l: 0
t: 31 | c: 1026 | d: 3857 | w: 10 | l: 0
t: 87 | c: 1113 | d: 4361 | w: 2 | l: 0
t: 14 | c: 1127 | d: 4248 | w: 8 | l: 0
t: 51 | c: 1178 | d: 4707 | w: 3 | l: 0
t: 97 | c: 1275 | d: 4022 | w: 5 | l: 0
t: 16 | c: 1291 | d: 3803 | w: 10 | l: 0
t: 41 | c: 1332 | d: 4243 | w: 5 | l: 0
t: 10 | c: 1342 | d: 4508 | w: 3 | l: 0
t: 91 | c: 1433 | d: 3790 | w: 10 | l: 0
t: 37 | c: 1470 | d: 3974 | w: 7 | l: 0
t: 74 | c: 1544 | d: 3735 | w: 3 | l: 0
t: 13 | c: 1557 | d: 3717 | w: 5 | l: 0
t: 39 | c: 1596 | d: 3782 | w: 8 | l: 0
t: 22 | c: 1618 | d: 4062 | w: 10 | l: 0
t: 32 | c: 1650 | d: 4235 | w: 2 | l: 0
t: 100 | c: 1750 | d: 4231 | w: 2 | l: 0
t: 18 | c: 1768 | d: 4015 | w: 9 | l: 0
t: 72 | c: 1840 | d: 3928 | w: 8 | l: 0
t: 36 | c: 1876 | d: 3857 | w: 9 | l: 0
t: 18 | c: 1894 | d: 3858 | w: 1 | l: 0
t: 55 | c: 1949 | d: 4281 | w: 4 | l: 0
t: 39 | c: 1988 | d: 4066 | w: 6 | l: 0
t: 21 | c: 2009 | d: 3738 | w: 6 | l: 0
t: 24 | c: 2033 | d: 4558 | w: 5 | l: 0
t: 95 | c: 2128 | d: 3724 | w: 6 | l: 0
t: 46 | c: 2174 | d: 4547 | w: 9 | l: 0
t: 65 | c: 2239 | d: 3888 | w: 1 | l: 0
t: 61 | c: 2300 | d: 4502 | w: 9 | l: 0
t: 88 | c: 2388 | d: 4591 | w: 4 | l: 0
t: 74 | c: 2462 | d: 3743 | w: 4 | l: 0
t: 92 | c: 2554 | d: 3815 | w: 8 | l: 0
t: 14 | c: 2568 | d: 3727 | w: 3 | l: 0
t: 67 | c: 2635 | d: 3864 | w: 1 | l: 0
t: 14 | c: 2649 | d: 3797 | w: 5 | l: 0
t: 1 | c: 2650 | d: 3907 | w: 10 | l: 0
t: 97 | c: 2747 | d: 4126 | w: 5 | l: 0
t: 23 | c: 2770 | d: 4015 | w: 7 | l: 0
t: 17 | c: 2787 | d: 4378 | w: 2 | l: 0
t: 60 | c: 2847 | d: 4151 | w: 4 | l: 0
t: 79 | c: 2926 | d: 4671 | w: 4 | l: 0
t: 78 | c: 3004 | d: 4527 | w: 9 | l: 0
t: 46 | c: 3050 | d: 4202 | w: 9 | l: 0
t: 47 | c: 3097 | d: 4262 | w: 1 | l: 0
t: 27 | c: 3124 | d: 4612 | w: 5 | l: 0
t: 28 | c: 3152 | d: 4142 | w: 2 | l: 0
t: 50 | c: 3202 | d: 4339 | w: 3 | l: 0
t: 8 | c: 3210 | d: 4727 | w: 3 | l: 0
t: 54 | c: 3264 | d: 3729 | w: 6 | l: 0
t: 19 | c: 3283 | d: 3767 | w: 5 | l: 0
t: 60 | c: 3343 | d: 3811 | w: 4 | l: 0
t: 89 | c: 3432 | d: 4471 | w: 6 | l: 0
t: 94 | c: 3526 | d: 3752 | w: 10 | l: 0
t: 72 | c: 3598 | d: 4753 | w: 7 | l: 0
t: 91 | c: 3689 | d: 3713 | w: 9 | l: 0
t: 69 | c: 3758 | d: 4642 | w: 9 | l: 0
t: 49 | c: 3807 | d: 4360 | w: 9 | l: 0
t: 13 | c: 3820 | d: 4567 | w: 10 | l: 0
t: 73 | c: 3893 | d: 4068 | w: 7 | l: 0
t: 22 | c: 3915 | d: 4187 | w: 10 | l: 0
t: 100 | c: 4015 | d: 4025 | w: 6 | l: 0
t: 50 | c: 4065 | d: 4204 | w: 5 | l: 0
t: 99 | c: 4164 | d: 4227 | w: 10 | l: 0
t: 89 | c: 4253 | d: 4546 | w: 6 | l: 0
t: 65 | c: 4318 | d: 4366 | w: 7 | l: 0
t: 90 | c: 4408 | d: 4536 | w: 9 | l: 0
t: 80 | c: 4488 | d: 4768 | w: 5 | l: 0
t: 87 | c: 4575 | d: 4582 | w: 6 | l: 0
t: 79 | c: 4654 | d: 4681 | w: 5 | l: 0
t: 35 | c: 4689 | d: 4740 | w: 5 | l: 0
t: 51 | c: 4740 | d: 4760 | w: 9 | l: 0
t: 53 | c: 4793 | d: 4762 | w: 4 | l: 31
t: 55 | c: 4848 | d: 4761 | w: 3 | l: 87
t: 54 | c: 4902 | d: 4761 | w: 2 | l: 141
t: 99 | c: 5001 | d: 4648 | w: 3 | l: 353
t: 73 | c: 5074 | d: 4507 | w: 2 | l: 567
t: 52 | c: 5126 | d: 4412 | w: 1 | l: 714
t: 86 | c: 5212 | d: 4288 | w: 1 | l: 924
t: 88 | c: 5300 | d: 3722 | w: 1 | l: 1578
Valor: 6076
